elev,shp,rie,elb,time,date,images
90.51,29.75,-53.46,4.14,66753.44,2023-11-05,11-05-2023-18-32-33-440.jpg
57.59,19.5,-81.13,11.99,66753.547,2023-11-05,11-05-2023-18-32-33-547.jpg
21.58,32.2,-81.13,13.24,66753.649,2023-11-05,11-05-2023-18-32-33-649.jpg
15.12,60.52,-33.06,8.21,66753.749,2023-11-05,11-05-2023-18-32-33-749.jpg
15.12,74.26,-16.9,3.28,66753.861,2023-11-05,11-05-2023-18-32-33-861.jpg
15.12,81.72,-6.4,2.65,66753.973,2023-11-05,11-05-2023-18-32-33-973.jpg
15.12,83.18,-4.92,3.01,66754.067,2023-11-05,11-05-2023-18-32-34-067.jpg
5.66,83.3,-4.79,3.15,66754.166,2023-11-05,11-05-2023-18-32-34-166.jpg
7.58,81.9,-7.5,0.5,66754.28,2023-11-05,11-05-2023-18-32-34-280.jpg
13.31,79.45,-10.77,1.41,66754.382,2023-11-05,11-05-2023-18-32-34-382.jpg
20.04,66.81,-31.33,14.71,66754.501,2023-11-05,11-05-2023-18-32-34-501.jpg
29.83,56.63,-42.29,14.63,66754.599,2023-11-05,11-05-2023-18-32-34-599.jpg
46.38,41.86,-55.95,13.09,66754.716,2023-11-05,11-05-2023-18-32-34-716.jpg
62.66,23.99,-74.73,9.49,66754.813,2023-11-05,11-05-2023-18-32-34-813.jpg
73.21,14.13,-81.43,7.29,66754.917,2023-11-05,11-05-2023-18-32-34-917.jpg
74.25,14.52,-77.74,5.61,66755.014,2023-11-05,11-05-2023-18-32-35-014.jpg
105.77,4.88,-79.35,2.51,66755.117,2023-11-05,11-05-2023-18-32-35-117.jpg
122.38,22.78,-66.06,0.81,66755.223,2023-11-05,11-05-2023-18-32-35-223.jpg
144.41,56.84,-25.71,11.35,66755.332,2023-11-05,11-05-2023-18-32-35-332.jpg
173.57,78.13,-2.91,16.1,66755.435,2023-11-05,11-05-2023-18-32-35-435.jpg
173.57,82.82,-0.74,14.72,66755.537,2023-11-05,11-05-2023-18-32-35-537.jpg
174.01,90.27,11.32,21.62,66755.63,2023-11-05,11-05-2023-18-32-35-630.jpg
173.32,91.39,12.72,22.27,66755.734,2023-11-05,11-05-2023-18-32-35-734.jpg
173.32,85.99,-4.86,16.79,66755.847,2023-11-05,11-05-2023-18-32-35-847.jpg
173.32,80.21,-2.53,13.22,66755.952,2023-11-05,11-05-2023-18-32-35-952.jpg
157.02,73.1,-15.66,1.12,66756.065,2023-11-05,11-05-2023-18-32-36-065.jpg
141.23,57.49,-33.49,6.22,66756.168,2023-11-05,11-05-2023-18-32-36-168.jpg
117.56,41.9,-48.06,7.64,66756.286,2023-11-05,11-05-2023-18-32-36-286.jpg
106.08,24.63,-58.39,1.68,66756.382,2023-11-05,11-05-2023-18-32-36-382.jpg
81.97,24.63,-58.39,2.65,66756.479,2023-11-05,11-05-2023-18-32-36-479.jpg
67.79,10.95,-74.55,7.56,66756.584,2023-11-05,11-05-2023-18-32-36-584.jpg
54.2,32.49,-54.81,6.34,66756.682,2023-11-05,11-05-2023-18-32-36-682.jpg
37.08,34.77,-61.37,10.61,66756.784,2023-11-05,11-05-2023-18-32-36-784.jpg
38.13,38.69,-59.94,12.55,66756.884,2023-11-05,11-05-2023-18-32-36-884.jpg
13.54,69.37,-23.04,6.25,66756.984,2023-11-05,11-05-2023-18-32-36-984.jpg
13.54,81.63,-8.15,0.4,66757.078,2023-11-05,11-05-2023-18-32-37-078.jpg
9.93,83.83,-5.03,1.6,66757.182,2023-11-05,11-05-2023-18-32-37-182.jpg
10.65,83.46,-5.59,1.24,66757.3,2023-11-05,11-05-2023-18-32-37-300.jpg
12.21,83.39,-6.04,0.66,66757.397,2023-11-05,11-05-2023-18-32-37-397.jpg
12.18,83.36,-7.15,1.34,66757.508,2023-11-05,11-05-2023-18-32-37-508.jpg
12.18,80.86,-12.12,6.03,66757.598,2023-11-05,11-05-2023-18-32-37-598.jpg
