x,y
55091.076,50.85
55091.11,57.42
55091.143,62.35
55091.174,72.39
55091.208,77.16
55091.243,85.89
55091.276,91.99
55091.309,96.52
55091.343,98.7
55091.376,102.08
55091.409,106.54
55091.443,113.73
55091.474,122.38
55091.51,124.74
55091.543,125.86
55091.574,126.59
55091.607,128.11
55091.641,131.79
55091.674,134.2
55091.709,137.28
55091.743,139.31
55091.775,141.36
55091.809,143.4
55091.846,145.27
55091.876,146.94
55091.91,148.66
55091.943,150.78
55091.975,152.54
55092.01,154.19
55092.043,156.0
55092.076,157.61
55092.11,158.85
55092.143,159.43
55092.174,159.84
55092.209,158.74
55092.242,159.31
55092.277,160.2
55092.311,160.42
55092.344,160.68
55092.375,161.05
55092.411,160.93
55092.441,160.59
55092.476,160.22
55092.51,159.5
55092.543,158.35
55092.574,155.31
55092.611,152.17
55092.644,149.09
55092.677,146.08
55092.71,142.71
55092.743,138.55
55092.777,135.61
55092.809,132.4
55092.843,126.65
55092.874,122.75
55092.909,119.69
55092.954,117.12
55092.974,114.76
55093.012,106.64
55093.045,102.69
55093.077,96.04
55093.113,92.92
55093.144,89.88
55093.176,87.68
55093.21,85.66
55093.247,82.02
55093.275,78.92
55093.312,75.54
55093.343,67.52
55093.376,63.15
55093.409,57.64
55093.443,53.67
55093.476,49.8
55093.508,46.7
55093.544,43.39
55093.575,39.11
55093.609,36.35
55093.643,33.29
55093.675,30.99
55093.71,29.39
55093.741,28.24
55093.777,27.27
55093.81,25.76
55093.841,24.1
55093.875,22.28
55093.911,18.43
55093.943,15.42
55093.975,13.58
55094.011,12.38
55094.045,11.53
55094.076,10.89
55094.111,10.39
55094.142,9.99
55094.177,9.66
55094.209,9.37
55094.243,9.14
55094.276,8.96
55094.308,8.83
55094.342,8.74
55094.377,8.68
55094.408,8.63
55094.441,8.6
55094.477,8.62
55094.514,8.87
55094.542,10.13
55094.575,12.07
55094.613,15.21
55094.644,19.23
55094.677,24.49
55094.709,28.17
55094.743,32.5
55094.778,37.4
55094.812,43.44
55094.842,49.48
55094.878,55.33
55094.908,62.51
55094.944,68.38
55094.976,75.6
55095.011,80.15
55095.046,84.87
55095.078,93.61
55095.109,96.85
55095.142,104.4
55095.176,108.43
55095.208,110.99
55095.242,113.17
55095.279,116.66
55095.311,119.46
55095.344,121.47
55095.375,124.7
55095.409,127.15
55095.442,130.26
55095.478,134.08
55095.508,136.5
55095.543,138.52
55095.578,140.49
55095.609,141.75
55095.642,143.73
55095.679,145.4
55095.711,147.39
55095.741,149.26
55095.774,151.15
55095.809,153.29
55095.846,155.16
55095.876,156.65
55095.907,157.82
55095.943,155.82
55095.974,159.48
55096.013,156.63
55096.043,157.11
55096.075,160.36
55096.11,157.23
55096.143,157.59
55096.175,157.37
55096.21,160.47
55096.243,160.31
55096.275,160.17
55096.307,159.91
55096.345,159.19
55096.375,157.77
55096.408,155.65
55096.442,152.88
55096.476,148.27
55096.509,145.11
55096.546,142.29
55096.58,139.02
55096.612,133.14
55096.644,129.66
55096.678,127.6
55096.711,122.24
55096.744,120.03
55096.775,117.75
55096.808,114.81
55096.845,109.51
55096.874,106.67
55096.909,99.62
55096.942,97.27
55096.976,95.2
55097.009,94.04
55097.044,88.06
55097.075,84.46
55097.106,80.69
55097.142,76.74
55097.177,73.73
55097.207,68.52
55097.242,63.88
55097.276,59.14
55097.309,55.87
55097.342,52.71
55097.375,49.51
55097.408,46.53
55097.443,43.68
55097.474,41.03
55097.508,38.1
55097.542,35.02
55097.575,32.38
55097.609,30.23
55097.642,28.24
55097.675,26.48
55097.71,24.51
55097.74,22.5
55097.775,19.33
55097.811,17.59
55097.843,16.45
55097.876,15.4
55097.91,14.43
55097.941,13.74
55097.978,13.22
55098.007,12.76
55098.042,12.29
55098.077,11.8
55098.107,11.32
55098.142,10.88
55098.177,10.5
55098.207,10.19
55098.24,9.97
55098.276,9.8
55098.307,9.67
55098.344,9.55
55098.377,9.48
55098.408,9.57
55098.445,10.44
55098.475,12.5
55098.511,17.23
55098.542,20.7
55098.577,24.26
55098.608,28.8
55098.643,33.45
55098.676,38.98
55098.709,45.54
55098.741,50.58
55098.776,55.07
55098.807,60.67
55098.846,68.6
55098.876,73.34
55098.91,78.5
55098.945,83.65
55098.973,88.68
55099.01,93.16
55099.048,100.43
55099.075,108.17
55099.109,111.86
55099.143,113.86
55099.176,118.56
55099.207,120.1
55099.246,121.36
55099.275,122.5
55099.308,124.51
55099.344,130.22
55099.378,132.6
55099.407,134.57
55099.441,136.43
55099.476,138.27
55099.508,140.27
55099.543,142.34
55099.576,144.52
55099.609,146.49
55099.648,148.53
55099.678,150.37
55099.707,152.02
55099.743,153.78
55099.777,155.47
55099.808,156.66
55099.846,157.74
55099.877,158.09
55099.908,158.18
55099.945,158.26
55099.975,158.52
55100.008,158.77
55100.044,158.94
55100.074,159.75
55100.111,159.13
55100.143,159.16
55100.179,159.07
55100.21,158.85
55100.241,158.24
55100.278,157.07
55100.311,155.12
55100.345,152.69
55100.378,149.37
55100.408,146.15
55100.444,142.79
55100.474,139.42
55100.508,136.41
55100.546,133.39
55100.575,127.05
55100.611,122.47
55100.643,117.12
55100.676,111.0
55100.711,106.32
55100.743,102.38
55100.775,100.67
55100.808,98.57
55100.843,95.25
55100.876,94.31
55100.907,88.7
55100.944,84.18
55100.976,79.49
55101.009,75.6
55101.043,69.08
55101.076,61.49
55101.107,57.5
