y,shp,rie,elb,x,date,images
119.99,53.08,-38.83,9.39,45304.304,2023-10-03,10-03-2023-12-35-04-304.jpg
124.48,58.08,-33.48,8.42,45304.412,2023-10-03,10-03-2023-12-35-04-412.jpg
129.6,64.7,-27.34,7.33,45304.519,2023-10-03,10-03-2023-12-35-04-519.jpg
133.18,68.45,-21.6,9.18,45304.618,2023-10-03,10-03-2023-12-35-04-618.jpg
132.92,68.87,-20.36,11.21,45304.717,2023-10-03,10-03-2023-12-35-04-717.jpg
135.05,70.5,-16.58,14.66,45304.82,2023-10-03,10-03-2023-12-35-04-820.jpg
133.18,68.0,-20.46,11.84,45304.928,2023-10-03,10-03-2023-12-35-04-928.jpg
123.22,59.1,-32.92,7.23,45305.035,2023-10-03,10-03-2023-12-35-05-035.jpg
107.48,48.66,-44.63,5.91,45305.136,2023-10-03,10-03-2023-12-35-05-136.jpg
96.65,43.69,-53.27,9.54,45305.236,2023-10-03,10-03-2023-12-35-05-236.jpg
87.02,40.95,-58.59,8.89,45305.343,2023-10-03,10-03-2023-12-35-05-343.jpg
75.23,43.33,-57.71,11.18,45305.451,2023-10-03,10-03-2023-12-35-05-451.jpg
67.76,47.4,-52.16,12.08,45305.556,2023-10-03,10-03-2023-12-35-05-556.jpg
55.21,52.04,-47.08,5.76,45305.652,2023-10-03,10-03-2023-12-35-05-652.jpg
49.41,60.69,-36.05,4.48,45305.751,2023-10-03,10-03-2023-12-35-05-751.jpg
46.26,68.99,-28.08,8.72,45305.854,2023-10-03,10-03-2023-12-35-05-854.jpg
41.25,74.8,-22.04,10.17,45305.972,2023-10-03,10-03-2023-12-35-05-972.jpg
40.89,75.46,-22.02,11.65,45306.07,2023-10-03,10-03-2023-12-35-06-070.jpg
40.5,77.22,-19.47,10.36,45306.192,2023-10-03,10-03-2023-12-35-06-192.jpg
36.98,79.73,-15.73,8.55,45306.289,2023-10-03,10-03-2023-12-35-06-289.jpg
37.71,81.96,-10.66,3.55,45306.42,2023-10-03,10-03-2023-12-35-06-420.jpg
36.75,81.96,-10.34,3.02,45306.52,2023-10-03,10-03-2023-12-35-06-520.jpg
38.16,78.66,-16.39,7.41,45306.617,2023-10-03,10-03-2023-12-35-06-617.jpg
43.58,71.2,-28.5,14.31,45306.715,2023-10-03,10-03-2023-12-35-06-715.jpg
45.54,69.17,-30.63,13.75,45306.821,2023-10-03,10-03-2023-12-35-06-821.jpg
55.15,56.61,-46.57,13.58,45306.915,2023-10-03,10-03-2023-12-35-06-915.jpg
62.36,52.63,-49.07,11.64,45307.015,2023-10-03,10-03-2023-12-35-07-015.jpg
63.4,52.17,-48.65,9.51,45307.115,2023-10-03,10-03-2023-12-35-07-115.jpg
63.56,52.2,-48.31,8.69,45307.217,2023-10-03,10-03-2023-12-35-07-217.jpg
63.61,52.26,-48.04,8.37,45307.314,2023-10-03,10-03-2023-12-35-07-314.jpg
72.56,46.35,-57.91,8.36,45307.422,2023-10-03,10-03-2023-12-35-07-422.jpg
92.15,41.07,-64.55,6.11,45307.534,2023-10-03,10-03-2023-12-35-07-534.jpg
104.99,43.75,-54.2,1.35,45307.637,2023-10-03,10-03-2023-12-35-07-637.jpg
119.7,53.3,-38.06,10.07,45307.739,2023-10-03,10-03-2023-12-35-07-739.jpg
