elev,shp,time,elb,rie
131.29,48.53,14:00:37:264,25.37,666.0
137.46,41.96,14:00:37:390,23.75,666.0
139.78,40.54,14:00:37:519,25.08,666.0
144.25,34.85,14:00:37:665,22.24,666.0
146.79,28.34,14:00:37:797,23.12,666.0
148.03,24.08,14:00:37:925,22.85,666.0
148.36,19.81,14:00:38:051,23.17,666.0
148.74,13.05,14:00:38:178,23.53,666.0
149.15,10.58,14:00:38:303,23.03,666.0
149.55,10.38,14:00:38:427,22.81,666.0
149.63,10.78,14:00:38:556,22.73,666.0
149.51,12.09,14:00:38:691,22.73,666.0
148.77,12.07,14:00:38:821,22.95,666.0
148.4,14.93,14:00:38:942,23.03,666.0
147.74,21.03,14:00:39:066,23.28,666.0
145.56,30.36,14:00:39:188,22.66,666.0
142.48,36.5,14:00:39:317,22.97,666.0
136.34,43.39,14:00:39:447,23.33,666.0
129.81,47.07,14:00:39:571,23.44,666.0
117.23,51.96,14:00:39:707,31.9,55.01
112.79,50.63,14:00:39:838,33.12,68.94
103.21,57.54,14:00:39:971,31.92,50.19
95.21,51.62,14:00:40:089,41.18,56.92
94.35,59.71,14:00:40:211,27.39,666.0
83.25,57.17,14:00:40:340,34.64,46.53
75.43,54.16,14:00:40:473,41.43,43.18
70.5,52.71,14:00:40:590,38.96,47.59
68.13,52.21,14:00:40:728,38.03,49.61
61.5,52.73,14:00:40:864,50.32,28.95
52.73,53.41,14:00:40:999,41.99,23.71
50.49,60.8,14:00:41:126,29.78,666.0
47.32,59.82,14:00:41:257,26.74,666.0
42.0,59.15,14:00:41:401,27.35,666.0
36.99,55.62,14:00:41:528,27.42,666.0
33.23,52.44,14:00:41:664,26.1,666.0
29.48,50.0,14:00:41:797,23.59,666.0
22.05,40.53,14:00:41:935,28.04,666.0
20.34,35.21,14:00:42:066,25.08,666.0
16.6,25.58,14:00:42:193,26.26,666.0
14.42,20.21,14:00:42:324,26.2,666.0
12.49,8.53,14:00:42:451,26.38,666.0
11.68,-6.3,14:00:42:579,27.44,666.0
12.11,-25.03,14:00:42:714,28.88,666.0
12.78,-30.85,14:00:42:851,28.47,666.0
12.94,-33.88,14:00:42:981,29.43,666.0
12.65,-33.1,14:00:43:110,29.32,666.0
12.28,-30.76,14:00:43:238,28.99,666.0
12.01,-28.5,14:00:43:377,28.83,666.0
11.68,-27.49,14:00:43:507,28.74,666.0
11.15,-25.45,14:00:43:651,28.9,666.0
9.94,-18.93,14:00:43:780,30.35,-4.83
8.97,-2.23,14:00:43:915,29.85,666.0
10.14,18.38,14:00:44:042,33.2,-6.2
13.74,35.25,14:00:44:182,32.3,-2.64
19.83,47.02,14:00:44:312,32.76,2.32
30.82,56.35,14:00:44:443,24.27,666.0
37.88,61.53,14:00:44:575,17.92,666.0
40.75,60.36,14:00:44:710,29.1,666.0
47.4,63.51,14:00:44:845,26.77,666.0
48.77,59.29,14:00:44:977,35.99,15.8
57.1,65.05,14:00:45:105,30.06,11.85
67.58,63.29,14:00:45:233,17.11,666.0
67.01,62.98,14:00:45:368,34.4,19.0
79.45,63.53,14:00:45:493,18.73,666.0
86.4,64.74,14:00:45:623,21.98,666.0
93.02,62.05,14:00:45:764,25.21,666.0
101.55,62.62,14:00:45:892,24.91,666.0
109.57,61.05,14:00:46:014,17.72,666.0
117.98,59.68,14:00:46:143,21.26,666.0
121.82,56.55,14:00:46:279,22.66,666.0
125.67,56.12,14:00:46:421,25.25,666.0
132.56,53.66,14:00:46:571,21.84,666.0
139.25,46.56,14:00:46:731,23.07,666.0
143.42,43.13,14:00:46:896,21.45,666.0
147.94,34.74,14:00:47:035,20.56,666.0
149.59,28.92,14:00:47:176,21.17,666.0
150.94,20.97,14:00:47:340,22.27,666.0
152.27,12.56,14:00:47:485,22.34,666.0
153.36,2.88,14:00:47:647,22.13,666.0
153.05,6.25,14:00:47:786,22.39,666.0
153.16,6.17,14:00:47:926,22.08,666.0
153.3,6.25,14:00:48:061,21.77,666.0
153.16,5.68,14:00:48:210,21.73,666.0
152.68,8.61,14:00:48:373,21.47,666.0
151.84,13.81,14:00:48:509,21.54,666.0
150.18,21.88,14:00:48:653,21.64,666.0
146.4,33.35,14:00:48:810,22.57,666.0
143.82,39.49,14:00:48:977,23.12,666.0
138.64,46.99,14:00:49:129,24.64,666.0
134.24,53.08,14:00:49:277,23.19,666.0
129.92,55.4,14:00:49:419,23.78,666.0
124.93,58.22,14:00:49:555,23.55,666.0
117.17,59.5,14:00:49:698,24.53,666.0
110.98,61.19,14:00:49:846,24.97,666.0
99.83,64.76,14:00:49:966,32.04,43.9
89.14,61.29,14:00:50:089,37.54,42.62
87.45,63.96,14:00:50:220,30.26,44.4
79.95,68.61,14:00:50:343,30.36,30.25
71.74,64.08,14:00:50:469,32.23,39.76
62.73,57.33,14:00:50:596,53.69,36.04
57.97,56.72,14:00:50:718,48.95,33.65
43.89,62.18,14:00:50:856,51.34,11.22
49.11,65.65,14:00:51:003,33.29,21.34
33.83,57.96,14:00:51:127,47.09,10.15
41.34,64.26,14:00:51:247,22.84,666.0
37.84,63.64,14:00:51:367,24.62,666.0
35.39,62.1,14:00:51:501,19.57,666.0
28.48,56.3,14:00:51:624,23.57,666.0
22.98,50.81,14:00:51:758,25.44,666.0
16.08,37.76,14:00:51:893,27.5,666.0
12.48,19.19,14:00:52:025,28.0,666.0
11.52,3.03,14:00:52:158,28.11,666.0
11.57,-9.25,14:00:52:280,27.65,666.0
11.02,-18.4,14:00:52:404,28.02,666.0
10.92,-20.85,14:00:52:543,26.93,666.0
11.02,-21.98,14:00:52:664,27.41,666.0
11.15,-23.6,14:00:52:795,27.46,666.0
10.99,-23.56,14:00:52:923,27.54,666.0
10.83,-23.55,14:00:53:047,27.59,666.0
10.67,-24.13,14:00:53:173,28.06,666.0
10.66,-24.29,14:00:53:296,28.15,666.0
10.32,-21.38,14:00:53:436,28.86,666.0
9.58,-12.5,14:00:53:559,29.94,666.0
9.57,7.36,14:00:53:697,32.2,-4.04
12.7,30.06,14:00:53:834,30.65,-3.08
19.52,43.89,14:00:53:957,32.73,1.34
30.23,55.06,14:00:54:082,24.84,666.0
39.43,61.5,14:00:54:211,25.05,666.0
50.03,69.37,14:00:54:341,17.1,666.0
59.96,70.76,14:00:54:479,19.26,666.0
71.96,71.25,14:00:54:613,11.31,666.0
59.76,62.55,14:00:54:745,44.51,17.33
76.09,67.65,14:00:54:883,16.94,666.0
88.03,68.84,14:00:55:006,18.95,666.0
93.55,66.72,14:00:55:127,20.69,666.0
101.15,62.74,14:00:55:256,25.35,666.0
109.98,63.67,14:00:55:376,16.42,666.0
112.35,61.16,14:00:55:505,24.95,666.0
114.0,55.05,14:00:55:626,32.16,51.55
118.15,52.88,14:00:55:749,32.02,55.71
128.74,53.32,14:00:55:879,26.91,666.0
133.44,51.48,14:00:56:004,25.92,666.0
138.45,46.47,14:00:56:121,25.45,666.0
143.71,41.62,14:00:56:262,22.18,666.0
147.75,34.2,14:00:56:389,21.35,666.0
